,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Lat,Lag,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
33,70880F,St Joseph's Community College,,Carrigholt Rd.,Kilkee,Co. Clare,,Clare,V15EK83,659056446.0,kkeecomcoll.ias@eircom.net,Ms Theresa O'Donnellan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,63,65,128,52.7249873,-9.3211534,CmRaAAAAn7eVBTfD_K4nfOGfH4iEVwTlpVjIwux01zeOB42k_jgaMKU0k6S_NRHlRqrTJV_SZpEB3eYiEWD2vwtKRI3Tws62403oN5wXYVao6XZjk-BKWTVw_kQkNQ_epCUgenx4EhC_OpCIS3a3CIKz7VIyw7ShGhTChM69OvKog3Fypk7LqgSuiQ1auQ,CmRaAAAAAFK9674iK48CmJU_kH4lEuPDIA0gHrujPsDjV5hW6pHdhuRuPe0N00N9Lov8JGtLthIgGOuNVaEG3PSruAhNSYSspR4Ici5VJJdM_hRnXNzpjaplEbDZ8Q79IuEmf7XEEhBwaPMtMnckOo2G6CcOn4BQGhT1nF26vPxi0uO6YEmuzQPXD6P0Cg,,,,,,,,,,,,,,,,,,
34,70900I,Scariff Community College,http://www.scariffcommunitycollege.ie/,Scariff,Co Clare,,,Clare,V94Y9W2,61921083.0,scc@lcetb.ie,Ms Angela McNamara,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,219,187,406,52.6047901,-9.709671199999999,CmRaAAAAx455tNSN0UnpvIBGxZW-Vo3UmGGFpYChE7Btgne4M0GZsXcbfe6t8oBBYRvwv6_kYNR3UwQi5Gi9UxlYGGW5Ka-msxq_ORbvgYPMBVbrOz4SvRLR0kyCLknUWJMPiS2-EhBwmFZBZRA3DqIiArsaMe3TGhTsj57E7IVDaf-jYXCATikF86f1LA,CmRaAAAA63auuWgiBRj7s7ya-b9yBGqGu8YKhzEEy8c8mZNjdd2Fav2IoXIAw-gntxogVEC5ie66bMhtGEMz_SPWc8EORUqr-UQIPhxhNAMpH6PsOGV__VjJSdsfMDRHDmW17W7UEhBG0QD1rFTgila-5YqZjrdYGhQssT4znOWhnJUkNpFeEudISoCU5w,CmRaAAAADknCYpQiReHe74RXktrApudOobBpRfmTGisiCRmAFp64mRPPIeELlDOh1_zooqvA3zd0xYnzs0vvD67J8zP2w5c7PrLJsLXp_-Wi9fuuChG5qbUiXPVRDSsJxLuqoxhOEhC6qiHL-1EzDazFl-o9fB6WGhTO3BfgFFuyTuPKqT_Xzm22lh6D2A,CmRaAAAAx6njMG1R9kXCgmSZEiFP6SDf-zeiZwwdNEActm8jTPraPRmfVQ1SMtGHZy6ke1Bg_DrtJaIcSkx2J1q1TQuTyeADjh16nhinKjO1F3X00l3EUYX8WKr4ig492eQuXDsREhATyv7HoEp942Yw8L5pGZ6wGhQPrQ9OVMXKv4DUV73gNXtgicdKSw,CmRaAAAAU8QtVJJPLIMLyOumnq406PShpDf6mwSvGOTfvGKaT2qLCLEo2l1o7bHnX8CEa0Ol7H7GIGzqh7efJr98USNUhuGyzgZ5FbQ_-I5SEz9I8D6jQqpAP8pcol-7vkP5r9ZQEhANPzMHM2oAGw-gXib-6LQwGhTjrAk9kz37lBfQPRsqjCi_SRdCMw,CmRaAAAA7mT_0yUtLw3wNnF6Kfj-dveMZRgOI1vM0XapVSoh6VQ2FU6QfFbFLtWZp38HW70iLWNzC43eK8fe7oUivj5PydcSg1f0ZlmYjtjgH0EgMjKFHelMZTqhgP5KNQzxxC2dEhAwaGcxDJdKFlsJpsqsGfw-GhQ0Tj2UogwnfpqEd5I6MEvYjlU61w,CmRaAAAAvd5mBMxx9ePEucdSsY5APP1GuJy1x4U_P_NEjWhZJ8QLloLVOrqHjZ3IAFHykGlfBO7xyA-zN1n7pMHmr7N351dtyf-QT-57k8FOdwyJ0aimPVTCyrBhECFTDOtxIRheEhCZJnxpCLlBOcNFdH2W79WeGhSplJ3uMef-kfuLhlIXlLlPFUOjxg,CmRaAAAAKD6Xx2vX9qLVqCrF9isfFaeTh6FylhoQPPePf210C5oFnrQuGKVKrY1JBeu1TiQut9h95mNXgtFKXzXomPewPxqNF7sV5K63HcIL4AbiO8zABG8Y1J1-gKI3tBBwMqr8EhAfFL6mFa2GrEq3XcpsP29NGhT_8mb4oXR19xutPGEa5tjqh1genA,CmRaAAAARFVRaK3hzPPthJWQaUKJ4Vf4x6RCwu_QFLXb1JqDVkmoDi82SjOBrfIleFLfN4EOyqb9rrN7RLCC6QdMZtJFv-vEplac0vZ7rQNj6CG7052cXp_oWd1qB0yW-3hkrT5gEhCR-fhzmEzP3PC05GGtd4AxGhSDHWhE-roQbCi3YLZZJTQfAxt4mg,CmRaAAAAl0gb6xA4M9alhSPOFeAbg8R_orcdJ3CngH0e3Qw4nfF3E0KXqX04wL6N1gTHJaZVvyjMHn8RGYOyJCYgZrfsiTFEslj8X_CTQOIOg9KAY4iQMS1FMq31UXOa7PI5ghzTEhCWTjPWyFsY0SYx9wO8OFW0GhRbH0MdQ_ifxKqIPyHL-RXND2hShw,,,,,,,,,,
35,70901K,St Anne's Community College,http://killaloecc.ie/,Killaloe,Co Clare,,,Clare,V94HP60,61376257.0,noreen.buckley@lcetb.ie,Ms Aideen Walsh,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,299,250,549,52.9034106,-8.537069599999999,,,,,,,,,,,,,,,,,,,,
36,76075K,St John Bosco Community College,http://www.kildysartcc.com/,Cahercon,Kildysart,Co Clare,,Clare,V95TXF1,656832300.0,denis.orourke@lcetb.ie,Denis O'Rourke,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,105,96,201,52.9088498,-8.533109,CmRaAAAAB_CwX2KpMf63V4njdn53AygrdE4bpmHC8wOsN1EwAgzPu4EgUEj8QOJ8BzCmYNbf3vKcVXeavZCKEXkp3a6rJ3bTScpQM3_Cb7cCfnNHK4rxftnYTaokLWAMLuiZ5REOEhBC-t8M7fCQpylIqOs1q-aDGhTFvQMAk8K2IeOhwTNowMZfjhOpAg,CmRaAAAAXYF0SJyl4DBcEt_45KXGdwX8cqxPb4VCg6R6Iq1ufex1lZx3vHFupvePGX_5a2fQdCRISpf_Fuk4hg6pT6M2lyimrAYAGLWFBRMxTWcKj7P1E4AMGPhM7SKEymp6ycLoEhBk8goi30I33pz0gLDNXI9mGhQXfM8AAU9RQziRdOncWHaxlleh6g,CmRaAAAAa5BRBhKlG1koUECQFTJ6J-HHl0l0I4T9RAKmL71lH0AvpbL-N_YMZ5SCOCdOCTRR82EXnPJmMlffgHHAqxIQLOIhbSPVqLz4-OAaeUr7s5rf0GKs1cXkh_wTrWfVUamPEhAn8g0NDWIe8l-17Kh2f5ndGhQSxk-onJ8p6YBHXicWs23duOOYiw,CmRaAAAAwRQNooDfL5rRySgsFI0R5q8ZTQyvIoLS9Tue5atCw6Zm3pknFLQ_WdvCPuvGup7nYaJsOQaufmbUlv5sg5R-0Yv_2hWsxY8nFpsa-O5Sj5DBvkLvsXK34VGjB0Vn9ZsxEhDLhlvk1_3jXkwQtjoEoTxnGhQ2huJ9hX2AtFI3bRc3qmS6KubaGw,CmRaAAAA_oGq_DQ6SpNCNRk3AUqvnGPOrK4u81-QGk1LNeAC1N9ho82FNVyVSQ8mTA_VRfsyJXE5UkbLkq0v1kCUn0VCHNVBzL_z3cp-GK8yce8bzQkBsC_efz1nJmJAA8USQDZMEhBcqG2b_GAJdxilr4csD0PgGhQKuCCNNNy97ybNFr6dKTgPDvXZvg,CmRaAAAARxvEIS1HiuPIyMQctSw7jNR1M4ZKlCTln__Z4uzzSAcBr6Ol7jeH4_4wc3x9Co8ZC7kKbG8UnXntafEeKHbk9CDGwfjAIPbgDKk1mvwt2HFQaT0RN1dkV80lgTp40D7WEhCMoRfzDVt4h2PdPY_uEt86GhRlG-40m9siXNMayJyhtIN0NaLhrg,CmRaAAAA5zm7Hv21ZnWycrQ96oAQl6Wa_XzgFE0QYt0sNiTLIpWCcd-PCHI28pPKERTxwkpBAPQyAKc20Am8oQ1qgdCqKEqSfQZS8eDCQP1coQ_QPBhFPXn3wsibJqIQg1Yk1inKEhDmYhLb_15FoQR6RRkOG6sFGhRGigPE-CODxl6FQbWkDK14TXICyw,CmRaAAAACW_Xp0aZORL_wlRDv4LtjFTHZEyZiaeci_C8HNM4Qu-YrlW1lE9KgyDCkBSOWpFSCxB3vFcvSWZb50pKwFLg6XTd5vZpINjYNkLLQn0eu0dAVgZllSvknAaF5hoMw45REhAKjqQc9wtEwayI2Z2Ov6TzGhRA5OpvsC-bDgtzirWsC0efOOVgHg,,,,,,,,,,,,
37,81007U,Shannon Comprehensive School,http://www.stpatrickscomprehensive.ie/,Shannon,Co Clare,,,Clare,V14Y434,61361428.0,info@scnp.ie,MR. MORGAN HEAPHY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,299,297,596,52.9161783,-8.5315757,,,,,,,,,,,,,,,,,,,,
38,91447I,St Caimin's Community School,http://www.saintcaimins.ie/,Tullyvarraga,Shannon,,,Clare,V14XY54,61364211.0,stcaimins.ias@tinet.ie,MISS CLAIRE KNIGHT,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,354,368,722,52.80307269999999,-8.4402273,,,,,,,,,,,,,,,,,,,,
39,91448K,Kilrush Community School,http://kilrushcoms.com/,Kilrush,Co Clare,,,Clare,V15KT04,659051359.0,posh@kilrushcoms.com,MR. ROCK KIRWAN,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,210,236,446,52.65304510000001,-9.1360036,,,,,,,,,,,,,,,,,,,,
40,62050O,Árdscoil Uí Urmoltaigh,https://hamiltonhighschool.ie/,Droichead na Bandan,Co Chorcaí,,,Cork,P72C983,238844227.0,hhsbandon@gmail.com,Eugene O'Brien,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,385,385,52.7049505,-8.879698399999999,CmRaAAAAar6gIq4CVNl_iXAnDlmFIMnacLUFuZBZ8ztJhU73qXzdZQVfdsb08jCROgwFfN0rAbbVgVlyIa-jrlCge_AO17F77fnnv9S_OMz172O7ltj8aPgF4lJdy7erACVMp3CsEhDQSW7oXKkKbUxP7h5jtm1FGhTQOZxhyZhRazNP6o2eCVqUTMsbCQ,,,,,,,,,,,,,,,,,,,
41,62060R,Bandon Grammar School,http://www.bandongrammar.ie/,Bandon,Co Cork,,,Cork,P72FD36,238841713.0,office@bgsmail.ie,MR. IAN COOMBES,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,327,348,675,52.70535899999999,-8.862748,CmRaAAAA8zuAhJC1A-lmfnTMSG-IQpdbakY7QjQe3LRsC27pwS_8C_3nW-DTOZ_MjkB44qPdizLdJ5DVqCW5pqCM4_q2oJLMWSlEL9IrZ9oyj6ndbKvKPfLOjD78f9vit1NUjZUJEhAtzYZp9cIrNtj1qtTMzHNhGhRPMGznUE3TgitW1p6tTG5xuHEaLw,CmRaAAAAg-CnitUL8iFI3GMoAsPc5viBAt2gHmMFIW3NpO4A2i3ZwuY00wOJJDr91puS8Bo6bTqGSYTa1swmE4q4WzAanzOS3M084wZAj0K-MORETHrYVBqHbH2sQFNxBen6dnZBEhA6np_qsUxLYxOB5Hw_gsURGhRro3ksCBsUOXba1OREYj-Cy3evWg,CmRaAAAAegBU86ftCCg0nZAqGqjmXSR7uehUs6YcESu70svaK6Qhp3WbEykgjkwZhHyYWhQGMvHfsmzFdkPu_0mu16qFcoEPkRu5OzBajt8vpPEzwweXNoskAdZTnktjVryns-rOEhDmOpInmke9je5jrUP28K2WGhTzjpEZ52_SkWn9Hx9iGml-sz9-sg,CmRaAAAApfONvMDsZvPbSCde5ooEVQ-lMDpYiYJZ2xBQpuhRqJyVsC0NuUipSP3tkTa6UvzinLnf96v0t_k796OZpM_0aJQnjaEqE7UoE7Ik-UFl9LfDD0MkZlhlNW8-WiRIolWIEhAaq7r81Fd5qJjBBfyyF5aMGhRDjHV9Cn8jB4Qc5kMM3hhExbcR9w,CmRaAAAA8n5PIuFDYOz4SQ_DCTHBV7AhfEW3iJEdE2C8vbwtCZYk18EIB-i-vcAjh9xK9zJFgSIJrBK7LbzwPPS0zR8fUu4SLYvqv60FbWN7ovngrqYedZk_86CuV-_h7lrewdT2EhDplU7P7p0hiJYT9i-RiWmjGhTC_IqX8hVjx1VuIOHO3JKiZBVIYg,CmRaAAAA7ELCcEjN8nmg2qj8bLGXgWpY96SK4gmHB10EjmJzXLgEwI4zXDSc7jRvG6Dm2ONSSIgeiEpuFhTCOdVd7G_hXbsN2KZCca1n0R0Rd0UMXGMrLPxiJlFh_Yvr8VozvUuLEhAukHfUUYkSZ1kEKMIxcr6KGhSE5W645b5HHZjBtHCZxluMMc4lDA,CmRaAAAAkwPkWSYH68NttoH3cmx-UY-D5NS2ZBE9ZsJh7keCBB48arWXD1RX7U7MZMjvqlgslsD2oI_-9ysIHeQJjwIxp1GWjE2jrYENeUnzNMZxXGTWeUfwVeD7XCpXL1hM0V8LEhBq6a2dntqqGShayMBQVPjUGhTm26zPl5h9tubMylOe8n3fgHKwyw,CmRaAAAA5OfOaC-VHHFtYgaOBWQl4y1RQ8Ccm5VEqnR4H9jYnk7pKJrnNvNIt_PlP1uuvAVFkVtz_vWAD-zLZLNfbGrtboxnUgeoW-Sp9jXm1bIBED2yCqWYuqrHZNEJykPnamDCEhB2hS91Ms8bte7VrFM6n74tGhS2MpAjEgZs9YQbRIuDWImc8OTDfQ,CmRaAAAA1SvbqHyTCLNT4_QQ4TyN58_cS1Y5ZURqvS08llD1RxFbS4ptmFd8ltVoLLxYq1l1B5nwUvVXn93uF6K8iMoqMyaZp7MitKadPsfN7iKvUF0y45iZdlAj4s2hrUzAUr4TEhCjeS0OUkNAXHY2YGRq7EUBGhQqZHC2-NEwAa63hQ9BfWRXdwa-pA,CmRaAAAA3gb9rWTuN9uFXx4L2oV6TOj6DpVnB0MBjP4qyiWqFFfFn1nKrksMBYPiHqSb_NM2N0ioPfd3Q9uSRqOek4_5fWWhfJiPWUFdX5IlwRtJNLH-c3tRjAjkizAHS2xg5fcJEhBoGYZiZt1ecBNRVOExalKaGhQ9oJAhzb6eaA1k5qvSktMempUl7A,CmRaAAAAgMSSFHTnyufjG5y_eZdoLCHV5qvsEWd7ejbKIwTglYfRKxhtktEIxay2jSCEPQYX9qeNJBjryfTyUrGUnoqFBwQIgMk-_ZZClSW90veJVUQoxpHS0UA2deBneiUtXPrdEhAJQbZS5YZDdN_1f2KNXczCGhRrjL2ouEPervZiKQayvEA5G0qJ4w,CmRaAAAAuytTi5VwcibZlyzuNKvEh9WGpzwrtWHmp4oopVkhZUYkImxW74-GmMv2E1FxHV1aX3-pyNzZ4gJgcl5cA8_XpU-DfQWI9YmZw9o1WCUzT7t1JObYB3K9HS1ayuZAOWUUEhBsk2Yoe65Xcfxyk7ERUSipGhSGYbFn3pUnzjDSLEeE4n3Zba4hxw,CmRaAAAA-pZioV78TJHK4lI8JOb2fSi4s69lsPkkTuFsNq19SUVrCaNjTbSNBge9bFFa-WMfGCZ867An-oXnTT_q0iqjw9pTOCzUe8kpCD5YQIj4CC1A5OfN7o9NLDdv0PrvPC0rEhCNI38iJMpBjEcH7LjeKxfjGhSxl_fmbupWblKCmAzR6jQwFlPGNw,CmRaAAAAfdq3fnL-kNsyUrHDJss7RI2qf4GoRl8-DImh4nCX1VyUdMPUFxWVAZRWeyq2qUP8daKFhI3ZwLGJpBLskSDhVCeJxeQDYFwwnFrjP_GTuoJ-TK5d0hRqHS38jcCCfTYVEhBMtzvk_0-reMfb7geTbLFlGhTguuUEFhz35K1KJu1a9YS5TGd2FQ,CmRaAAAAloJ3FZVEPGH2MvQZohZiT7UTI3ZedX_VCRPVCHTH3qr1aLZ0kvRtSMthr5DcemfslIW0_oVyqAiQ2VLSB_JdjwgHZVmDWndE0eb_CxzQqHRAM9xpIO3JZ7ZY3GnKNG9rEhBVeykV_Px6h8_Nxb5r8c6UGhSCwjSglBdElUxhbo-w0REGUIn9eg,CmRaAAAAqHJ4Oxq2IeA92ninxDOLWsAEpg4fu7cfMC_DLse7u_ylq252v3BWw__g1sqI8VkrxKtFdTUIUKFjtWNFWmB5OpvJf8LatWm6yiYloZmL-yQ9kgAVYC7Ryc1SOEQKqHsxEhAWcnrpxrOT3UOglV0-DTGyGhTm66jAKhf07OAVZ2of5D-7qMH7qw,CmRaAAAAeaJL6BQQL1L0zjEe5yIBHYE08FItdrupVmFb-3IahSllwrfi8q2BUkDb-F4iK7UQLgNltZrer2cynzeR9v9gW3yTakaCKFUfqQUYNVAOywgmUgIXrII1ebP_-0MyGJRwEhDKHAzHBo7_cF5VzTETpFVdGhSa_ekSPheL5eIcxwJHGChYabIQqg,CmRaAAAAQbfpZlV1Ow4ubsf1bQ9L1xIZTfoqz4lCznZ05gl2E-jI41byAxAreFFQcgtJr8rDxKZEoSAFLNfla2rX8RIPyHXcXUpyK9AUK-awyjffWYc6BuMyPiOLu-FlTXS8T5E4EhD7fAsXvyM7KIYJALemcT4XGhSOubglGK6G0S2UESWlJ68Pqz9I6Q,CmRaAAAAuPpitaFcoPhtEPC8AFjUb4Wvv5-W-2LQmLAacmaDYOWNCfR7zdEA5SPsBDktbFF9ykZfWNc7C_rRu9M6RBpsuz-GXipYy_DlpHikraVNSAPub7zIdgdlLb9vhak7Dh08EhBil3kl26cDmKQKKj3Ta2z3GhQttGhw2gGVjKoEXowHhm1JH5WcNQ,CmRaAAAAZJ-M6LO90u5hG0gNW-UVlKvFAPtV8Nbdgld5jJhckDQCtwjvL_GdPYWdfIU6iObuDpszwPOWPJBrGK6Jug_p1ezQEHWWwqxVWDQ8YRoSSKWBMI-ZtqkQR8jx3FOKtJnlEhDmjBvmzHaYW-QZI-trX7aHGhQXWG72qrOHu73EL5uB3M3-yEBQuA
42,62061T,Coláiste Na Toirbhirte,http://www.presbandon.ie/,Árd Aoibhinn,Bandon,Co Cork,,Cork,P72FW28,238841814.0,,MS. MARY C O'DONOVAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,525,,525,52.70535899999999,-8.862748,CmRaAAAA8zuAhJC1A-lmfnTMSG-IQpdbakY7QjQe3LRsC27pwS_8C_3nW-DTOZ_MjkB44qPdizLdJ5DVqCW5pqCM4_q2oJLMWSlEL9IrZ9oyj6ndbKvKPfLOjD78f9vit1NUjZUJEhAtzYZp9cIrNtj1qtTMzHNhGhRPMGznUE3TgitW1p6tTG5xuHEaLw,CmRaAAAAg-CnitUL8iFI3GMoAsPc5viBAt2gHmMFIW3NpO4A2i3ZwuY00wOJJDr91puS8Bo6bTqGSYTa1swmE4q4WzAanzOS3M084wZAj0K-MORETHrYVBqHbH2sQFNxBen6dnZBEhA6np_qsUxLYxOB5Hw_gsURGhRro3ksCBsUOXba1OREYj-Cy3evWg,CmRaAAAAegBU86ftCCg0nZAqGqjmXSR7uehUs6YcESu70svaK6Qhp3WbEykgjkwZhHyYWhQGMvHfsmzFdkPu_0mu16qFcoEPkRu5OzBajt8vpPEzwweXNoskAdZTnktjVryns-rOEhDmOpInmke9je5jrUP28K2WGhTzjpEZ52_SkWn9Hx9iGml-sz9-sg,CmRaAAAApfONvMDsZvPbSCde5ooEVQ-lMDpYiYJZ2xBQpuhRqJyVsC0NuUipSP3tkTa6UvzinLnf96v0t_k796OZpM_0aJQnjaEqE7UoE7Ik-UFl9LfDD0MkZlhlNW8-WiRIolWIEhAaq7r81Fd5qJjBBfyyF5aMGhRDjHV9Cn8jB4Qc5kMM3hhExbcR9w,CmRaAAAA8n5PIuFDYOz4SQ_DCTHBV7AhfEW3iJEdE2C8vbwtCZYk18EIB-i-vcAjh9xK9zJFgSIJrBK7LbzwPPS0zR8fUu4SLYvqv60FbWN7ovngrqYedZk_86CuV-_h7lrewdT2EhDplU7P7p0hiJYT9i-RiWmjGhTC_IqX8hVjx1VuIOHO3JKiZBVIYg,CmRaAAAA7ELCcEjN8nmg2qj8bLGXgWpY96SK4gmHB10EjmJzXLgEwI4zXDSc7jRvG6Dm2ONSSIgeiEpuFhTCOdVd7G_hXbsN2KZCca1n0R0Rd0UMXGMrLPxiJlFh_Yvr8VozvUuLEhAukHfUUYkSZ1kEKMIxcr6KGhSE5W645b5HHZjBtHCZxluMMc4lDA,CmRaAAAAkwPkWSYH68NttoH3cmx-UY-D5NS2ZBE9ZsJh7keCBB48arWXD1RX7U7MZMjvqlgslsD2oI_-9ysIHeQJjwIxp1GWjE2jrYENeUnzNMZxXGTWeUfwVeD7XCpXL1hM0V8LEhBq6a2dntqqGShayMBQVPjUGhTm26zPl5h9tubMylOe8n3fgHKwyw,CmRaAAAA5OfOaC-VHHFtYgaOBWQl4y1RQ8Ccm5VEqnR4H9jYnk7pKJrnNvNIt_PlP1uuvAVFkVtz_vWAD-zLZLNfbGrtboxnUgeoW-Sp9jXm1bIBED2yCqWYuqrHZNEJykPnamDCEhB2hS91Ms8bte7VrFM6n74tGhS2MpAjEgZs9YQbRIuDWImc8OTDfQ,CmRaAAAA1SvbqHyTCLNT4_QQ4TyN58_cS1Y5ZURqvS08llD1RxFbS4ptmFd8ltVoLLxYq1l1B5nwUvVXn93uF6K8iMoqMyaZp7MitKadPsfN7iKvUF0y45iZdlAj4s2hrUzAUr4TEhCjeS0OUkNAXHY2YGRq7EUBGhQqZHC2-NEwAa63hQ9BfWRXdwa-pA,CmRaAAAA3gb9rWTuN9uFXx4L2oV6TOj6DpVnB0MBjP4qyiWqFFfFn1nKrksMBYPiHqSb_NM2N0ioPfd3Q9uSRqOek4_5fWWhfJiPWUFdX5IlwRtJNLH-c3tRjAjkizAHS2xg5fcJEhBoGYZiZt1ecBNRVOExalKaGhQ9oJAhzb6eaA1k5qvSktMempUl7A,CmRaAAAAgMSSFHTnyufjG5y_eZdoLCHV5qvsEWd7ejbKIwTglYfRKxhtktEIxay2jSCEPQYX9qeNJBjryfTyUrGUnoqFBwQIgMk-_ZZClSW90veJVUQoxpHS0UA2deBneiUtXPrdEhAJQbZS5YZDdN_1f2KNXczCGhRrjL2ouEPervZiKQayvEA5G0qJ4w,CmRaAAAAuytTi5VwcibZlyzuNKvEh9WGpzwrtWHmp4oopVkhZUYkImxW74-GmMv2E1FxHV1aX3-pyNzZ4gJgcl5cA8_XpU-DfQWI9YmZw9o1WCUzT7t1JObYB3K9HS1ayuZAOWUUEhBsk2Yoe65Xcfxyk7ERUSipGhSGYbFn3pUnzjDSLEeE4n3Zba4hxw,CmRaAAAA-pZioV78TJHK4lI8JOb2fSi4s69lsPkkTuFsNq19SUVrCaNjTbSNBge9bFFa-WMfGCZ867An-oXnTT_q0iqjw9pTOCzUe8kpCD5YQIj4CC1A5OfN7o9NLDdv0PrvPC0rEhCNI38iJMpBjEcH7LjeKxfjGhSxl_fmbupWblKCmAzR6jQwFlPGNw,CmRaAAAAfdq3fnL-kNsyUrHDJss7RI2qf4GoRl8-DImh4nCX1VyUdMPUFxWVAZRWeyq2qUP8daKFhI3ZwLGJpBLskSDhVCeJxeQDYFwwnFrjP_GTuoJ-TK5d0hRqHS38jcCCfTYVEhBMtzvk_0-reMfb7geTbLFlGhTguuUEFhz35K1KJu1a9YS5TGd2FQ,CmRaAAAAloJ3FZVEPGH2MvQZohZiT7UTI3ZedX_VCRPVCHTH3qr1aLZ0kvRtSMthr5DcemfslIW0_oVyqAiQ2VLSB_JdjwgHZVmDWndE0eb_CxzQqHRAM9xpIO3JZ7ZY3GnKNG9rEhBVeykV_Px6h8_Nxb5r8c6UGhSCwjSglBdElUxhbo-w0REGUIn9eg,CmRaAAAAqHJ4Oxq2IeA92ninxDOLWsAEpg4fu7cfMC_DLse7u_ylq252v3BWw__g1sqI8VkrxKtFdTUIUKFjtWNFWmB5OpvJf8LatWm6yiYloZmL-yQ9kgAVYC7Ryc1SOEQKqHsxEhAWcnrpxrOT3UOglV0-DTGyGhTm66jAKhf07OAVZ2of5D-7qMH7qw,CmRaAAAAeaJL6BQQL1L0zjEe5yIBHYE08FItdrupVmFb-3IahSllwrfi8q2BUkDb-F4iK7UQLgNltZrer2cynzeR9v9gW3yTakaCKFUfqQUYNVAOywgmUgIXrII1ebP_-0MyGJRwEhDKHAzHBo7_cF5VzTETpFVdGhSa_ekSPheL5eIcxwJHGChYabIQqg,CmRaAAAAQbfpZlV1Ow4ubsf1bQ9L1xIZTfoqz4lCznZ05gl2E-jI41byAxAreFFQcgtJr8rDxKZEoSAFLNfla2rX8RIPyHXcXUpyK9AUK-awyjffWYc6BuMyPiOLu-FlTXS8T5E4EhD7fAsXvyM7KIYJALemcT4XGhSOubglGK6G0S2UESWlJ68Pqz9I6Q,CmRaAAAAuPpitaFcoPhtEPC8AFjUb4Wvv5-W-2LQmLAacmaDYOWNCfR7zdEA5SPsBDktbFF9ykZfWNc7C_rRu9M6RBpsuz-GXipYy_DlpHikraVNSAPub7zIdgdlLb9vhak7Dh08EhBil3kl26cDmKQKKj3Ta2z3GhQttGhw2gGVjKoEXowHhm1JH5WcNQ,CmRaAAAAZJ-M6LO90u5hG0gNW-UVlKvFAPtV8Nbdgld5jJhckDQCtwjvL_GdPYWdfIU6iObuDpszwPOWPJBrGK6Jug_p1ezQEHWWwqxVWDQ8YRoSSKWBMI-ZtqkQR8jx3FOKtJnlEhDmjBvmzHaYW-QZI-trX7aHGhQXWG72qrOHu73EL5uB3M3-yEBQuA
43,62090D,Scoil Mhuire gan Smal,https://www.smgsblarney.ie/,Blarney,Co Cork,,,Cork,T23WP23,214385331.0,marysmgs@eircom.net,MR. PADRAIG SHEEHAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,360,402,762,52.6423229,-9.4836843,,,,,,,,,,,,,,,,,,,,
